Frame Number ,Layer Number,Overflow Count,Underflow Count,Max GNA value,Scale Factor,Max FP32 value,Mean of Overflowing FP32 values,Median,GNA Layer Name,IR Layer Name
0,564,20,0,64.0,512,76.4326,60.476155000000006,61.3982,kActIdentity_564,identity_154
0,01,11,0,64.0,512,113.421,80.6593090909091,76.149,kActIdentity_1,identity_5
0,81,0,3,3.75,256,6.61517,0,0,kActIdentity_81,identity_18
0,348,0,1,3.0,256,7.18618,0,0,kActIdentity_348,identity_93
0,87,0,0,0.101562,512,0.097082,0,0,kActIdentity_87,identity_19
0,507,0,0,59.1621,512,63.3726,0,0,kActIdentity_507,identity_139
0,215,34,0,64.0,512,114.834,74.32212352941177,69.5723,kActIdentity_215,identity_55
0,71,0,1,47.8418,512,47.8727,0,0,kActIdentity_71,identity_16
0,557,0,0,0.0605469,512,0.054089,0,0,kActIdentity_557,identity_152
0,395,0,49,0.933594,512,0.993157,0,0,kActIdentity_395,identity_106
0,222,17,0,63.998,512,114.286,75.31837647058823,74.0462,kActIdentity_222,identity_58
0,44,0,0,0.0722656,512,0.0354781,0,0,kActIdentity_44,identity_7
0,412,1,0,63.998,512,90.7085,60.9904,60.9904,kActIdentity_412,identity_112
0,59,15,1,63.998,512,99.9964,75.67361333333335,74.3609,kActIdentity_59,identity_12
0,500,1,0,64.0,512,67.1517,67.1517,67.1517,kActIdentity_500,identity_136
0,56,0,0,0.0292969,512,0.0596991,0,0,kActIdentity_56,identity_11
0,504,0,0,4.83398,512,3.77904,0,0,kActIdentity_504,identity_138
0,294,0,0,0.0507812,512,0.0488467,0,0,kActIdentity_294,identity_77
0,251,0,0,0.0488281,512,0.0472988,0,0,kActIdentity_251,identity_65
0,441,0,0,0.0644531,512,0.0604579,0,0,kActIdentity_441,identity_119
0,579,0,0,0.0546875,512,0.060416,0,0,kActIdentity_579,identity_158
0,472,0,0,10.0918,512,8.86304,0,0,kActIdentity_472,identity_129
0,464,0,1,3.90625,256,13.251,0,0,kActIdentity_464,identity_126
0,468,17,1,64.0,512,71.2872,60.680652941176476,58.6824,kActIdentity_468,identity_127
0,485,0,5,3.125,256,3.84145,0,0,kActIdentity_485,identity_132
0,409,0,0,9.61133,512,8.42462,0,0,kActIdentity_409,identity_111
0,325,0,0,0.0390625,512,0.0381302,0,0,kActIdentity_325,identity_86
0,585,0,58,0.990234,512,0.988571,0,0,kActIdentity_585,identity_160
0,374,75,0,64.0,512,94.8989,66.873556,65.2235,kActIdentity_374,identity_100
0,105,0,2,3.75,256,4.73977,0,0,kActIdentity_105,identity_24
0,124,0,0,0.0878906,512,0.0626108,0,0,kActIdentity_124,identity_30
0,359,5,0,63.998,512,71.31,64.94059999999999,64.3056,kActIdentity_359,identity_97
0,286,11,0,63.998,512,282.162,70.49115454545455,63.8805,kActIdentity_286,identity_76
0,369,0,2,3.375,256,4.01557,0,0,kActIdentity_369,identity_99
0,378,0,0,7.43164,512,6.8365,0,0,kActIdentity_378,identity_102
0,422,0,2,4.0,256,6.70453,0,0,kActIdentity_422,identity_114
0,68,0,0,0.445312,512,0.448575,0,0,kActIdentity_68,identity_15
0,89,0,2,4.85938,256,4.64758,0,0,kActIdentity_89,identity_20
0,296,0,2,3.25,256,13.7827,0,0,kActIdentity_296,identity_78
0,66,0,0,47.373,512,47.4241,0,0,kActIdentity_66,identity_14
0,542,23,0,64.0,512,161.654,122.68958695652175,134.709,kActIdentity_542,identity_148
0,201,0,4,3.75,256,11.5312,0,0,kActIdentity_201,identity_51
0,30,10,0,63.998,512,82.0108,71.22706,68.1474,kActIdentity_30,identity_2
0,127,4,0,63.998,512,96.4198,74.390825,74.0453,kActIdentity_127,identity_31
0,517,0,9,4.50781,256,5.43384,0,0,kActIdentity_517,identity_141
0,525,0,0,1.32227,512,1.99202,0,0,kActIdentity_525,identity_144
0,571,3,0,63.998,512,69.4594,64.15310000000001,63.734,kActIdentity_571,identity_157
0,186,3,0,63.998,512,202.733,65.71953333333335,65.7377,kActIdentity_186,identity_47
0,141,16,1,64.0,512,479.149,123.3482,80.4909,kActIdentity_141,identity_34
0,191,3,0,64.0,512,203.09,128.16823333333335,99.6829,kActIdentity_191,identity_49
0,279,14,0,64.0,512,282.433,97.77979285714287,64.4075,kActIdentity_279,identity_73
0,581,0,4,3.5,256,4.19646,0,0,kActIdentity_581,identity_159
0,403,0,0,6.10938,512,5.33348,0,0,kActIdentity_403,identity_108
0,376,9,0,63.998,512,94.8989,70.0971,63.9066,kActIdentity_376,identity_101
0,156,0,0,0.0585938,512,0.0465126,0,0,kActIdentity_156,identity_38
0,462,0,0,0.0625,512,0.0713383,0,0,kActIdentity_462,identity_125
0,306,0,89,0.705078,512,0.66975,0,0,kActIdentity_306,identity_80
0,177,0,0,0.0761719,512,0.074625,0,0,kActIdentity_177,identity_44
0,253,0,4,3.125,256,11.7099,0,0,kActIdentity_253,identity_66
0,544,1,1,63.998,512,161.654,96.8391,96.8391,kActIdentity_544,identity_149
0,430,0,0,3.33203,512,2.82669,0,0,kActIdentity_430,identity_117
0,42,11,0,64.0,512,113.421,80.6593090909091,76.149,kActIdentity_42,identity_6
0,213,0,0,6.48438,512,5.85644,0,0,kActIdentity_213,identity_54
0,272,0,0,0.0566406,512,0.0593874,0,0,kActIdentity_272,identity_71
0,118,0,1,6.69336,512,6.44782,0,0,kActIdentity_118,identity_27
0,536,0,0,0.0742188,512,0.0448673,0,0,kActIdentity_536,identity_146
0,79,0,0,0.0585938,512,0.0583422,0,0,kActIdentity_79,identity_17
0,240,0,0,0.144531,512,0.144343,0,0,kActIdentity_240,identity_63
0,356,0,0,0.503906,512,0.476211,0,0,kActIdentity_356,identity_96
0,261,0,0,1.09961,512,1.18484,0,0,kActIdentity_261,identity_69
0,32,0,0,0.988281,512,1.04533,0,0,kActIdentity_32,identity_3
0,549,4,0,63.998,512,157.792,74.32615,67.37604999999999,kActIdentity_549,identity_151
0,143,16,0,64.0,512,479.149,123.3482,80.4909,kActIdentity_143,identity_35
0,179,0,3,4.875,256,8.78427,0,0,kActIdentity_179,identity_45
0,327,0,2,2.5,256,8.47239,0,0,kActIdentity_327,identity_87
0,164,2,0,64.0,512,117.766,103.68745000000001,103.68745000000001,kActIdentity_164,identity_41
0,238,23,0,64.0,512,247.717,84.25961304347825,72.1538,kActIdentity_238,identity_62
0,496,0,127,0.691406,512,0.725299,0,0,kActIdentity_496,identity_134
0,559,0,4,3.875,256,8.53479,0,0,kActIdentity_559,identity_153
0,243,14,0,64.0,512,247.573,80.70251428571429,74.92605,kActIdentity_243,identity_64
0,451,0,0,3.08203,512,2.71965,0,0,kActIdentity_451,identity_123
0,389,0,0,0.0410156,512,0.0402515,0,0,kActIdentity_389,identity_104
0,314,0,0,5.33008,512,4.93987,0,0,kActIdentity_314,identity_84
0,352,9,0,64.0,512,70.8337,62.75898888888888,60.7568,kActIdentity_352,identity_94
0,188,0,0,0.433594,512,0.356963,0,0,kActIdentity_188,identity_48
0,433,4,1,63.998,512,379.725,178.22765,131.2142,kActIdentity_433,identity_118
0,257,8,0,64.0,512,99.1323,79.08132499999999,78.4967,kActIdentity_257,identity_67
0,483,0,0,0.0488281,512,0.0534542,0,0,kActIdentity_483,identity_131
0,502,0,0,63.998,512,67.1517,0,0,kActIdentity_502,identity_137
0,259,8,0,64.0,512,99.1323,79.08132499999999,78.4967,kActIdentity_259,identity_68
0,593,0,1,8.24609,512,6.56427,0,0,kActIdentity_593,identity_162
0,145,0,0,0.0527344,512,0.21139,0,0,kActIdentity_145,identity_36
0,426,9,0,64.0,512,376.898,131.8882888888889,81.9232,kActIdentity_426,identity_115
0,401,0,194,0.671875,512,0.694563,0,0,kActIdentity_401,identity_107
0,217,16,0,63.998,512,114.834,75.87015,74.33279999999999,kActIdentity_217,identity_56
0,169,2,1,64.0,512,117.712,103.6336,103.6336,kActIdentity_169,identity_43
0,475,1,0,63.998,512,71.8643,71.8643,71.8643,kActIdentity_475,identity_130
0,158,0,2,3.75,256,22.2767,0,0,kActIdentity_158,identity_39
0,120,8,0,64.0,512,96.4824,77.177025,73.9827,kActIdentity_120,identity_28
0,407,0,0,63.998,512,82.2839,0,0,kActIdentity_407,identity_110
0,443,0,5,4.125,256,22.9574,0,0,kActIdentity_443,identity_120
0,568,0,0,7.5957,512,6.97327,0,0,kActIdentity_568,identity_156
0,35,3,0,64.0,512,80.9655,66.55206666666668,64.4957,kActIdentity_35,identity_4
0,528,9,0,64.0,512,507.64,97.98584444444444,65.3244,kActIdentity_528,identity_145
0,300,0,7,0.978516,512,0.992288,0,0,kActIdentity_300,identity_79
0,274,0,4,3.5625,256,5.81685,0,0,kActIdentity_274,identity_72
0,591,0,103,0.697266,512,0.67422,0,0,kActIdentity_591,identity_161
0,381,18,0,63.998,512,101.735,69.67017777777778,66.44319999999999,kActIdentity_381,identity_103
0,538,0,4,4.75,256,22.7764,0,0,kActIdentity_538,identity_147
0,308,0,0,7.21289,512,6.46279,0,0,kActIdentity_308,identity_81
0,498,0,0,8.91602,512,8.43655,0,0,kActIdentity_498,identity_135
0,05,0,1,47.3691,512,47.4241,0,0,kActIdentity_5,identity_13
0,109,0,3,0.960938,512,0.972628,0,0,kActIdentity_109,identity_25
0,546,0,0,4.19727,512,3.86232,0,0,kActIdentity_546,identity_150
0,333,18,0,64.0,512,157.44,82.35558333333333,67.28739999999999,kActIdentity_333,identity_89
0,405,1,0,64.0,512,82.2839,61.1889,61.1889,kActIdentity_405,identity_109
0,391,0,2,2.625,256,4.095,0,0,kActIdentity_391,identity_105
0,331,18,0,64.0,512,157.44,82.35558333333333,67.28739999999999,kActIdentity_331,identity_88
0,47,7,0,63.998,512,113.386,77.75571428571428,75.1051,kActIdentity_47,identity_8
0,54,20,0,64.0,512,100.056,74.006935,71.48205,kActIdentity_54,identity_10
0,97,0,1,3.375,256,5.07554,0,0,kActIdentity_97,identity_22
0,367,0,0,0.0527344,512,0.0563115,0,0,kActIdentity_367,identity_98
0,184,6,0,64.0,512,202.733,96.76538333333333,74.18225,kActIdentity_184,identity_46
0,122,0,0,63.998,512,96.4824,0,0,kActIdentity_122,identity_29
0,07,11,0,64.0,512,82.0108,71.1284,68.6319,kActIdentity_7,identity_1
0,135,0,0,0.0546875,512,0.0536455,0,0,kActIdentity_135,identity_32
0,523,9,0,63.998,512,509.632,218.87456666666665,168.59,kActIdentity_523,identity_143
0,346,0,0,0.046875,512,0.0458269,0,0,kActIdentity_346,identity_92
0,116,0,16,0.730469,512,0.724239,0,0,kActIdentity_116,identity_26
0,449,0,0,63.998,512,188.468,0,0,kActIdentity_449,identity_122
0,211,0,18,0.724609,512,0.72222,0,0,kActIdentity_211,identity_53
